2024/11/14 16:20:31 method=GET path=/metrics status=200 latency=4.139917ms client_ip=::1
2024/11/14 16:20:46 method=GET path=/metrics status=200 latency=2.240708ms client_ip=::1
2024/11/14 16:21:01 method=GET path=/metrics status=200 latency=1.282209ms client_ip=::1
2024/11/14 16:21:16 method=GET path=/metrics status=200 latency=1.162ms client_ip=::1
2024/11/14 16:21:31 method=GET path=/metrics status=200 latency=2.776625ms client_ip=::1
2024/11/14 16:21:46 method=GET path=/metrics status=200 latency=814.709µs client_ip=::1
2024/11/14 16:22:01 method=GET path=/metrics status=200 latency=2.258334ms client_ip=::1
2024/11/14 16:22:16 method=GET path=/metrics status=200 latency=716.958µs client_ip=::1
2024/11/14 16:22:31 method=GET path=/metrics status=200 latency=1.358542ms client_ip=::1
2024/11/14 16:22:46 method=GET path=/metrics status=200 latency=1.170792ms client_ip=::1
2024/11/14 16:23:01 method=GET path=/metrics status=200 latency=1.77575ms client_ip=::1
2024/11/14 16:23:16 method=GET path=/metrics status=200 latency=1.064125ms client_ip=::1
2024/11/14 16:23:31 method=GET path=/metrics status=200 latency=1.170875ms client_ip=::1
2024/11/14 16:23:46 method=GET path=/metrics status=200 latency=1.592583ms client_ip=::1
2024/11/14 16:24:01 method=GET path=/metrics status=200 latency=2.783916ms client_ip=::1
2024/11/14 16:24:16 method=GET path=/metrics status=200 latency=1.628417ms client_ip=::1
2024/11/14 16:24:31 method=GET path=/metrics status=200 latency=1.571959ms client_ip=::1
2024/11/14 16:24:46 method=GET path=/metrics status=200 latency=847.5µs client_ip=::1
2024/11/14 16:25:01 method=GET path=/metrics status=200 latency=1.393708ms client_ip=::1
2024/11/14 16:25:16 method=GET path=/metrics status=200 latency=1.748292ms client_ip=::1
2024/11/14 16:25:31 method=GET path=/metrics status=200 latency=4.851375ms client_ip=::1
2024/11/14 16:45:04 GraphQL server created successfully
2024/11/14 16:45:04 GraphQL playground available at http://localhost:9000/
2024/11/14 16:45:10 method=POST path=/query status=200 latency=1.398291ms client_ip=::1
2024/11/14 16:45:16 method=GET path=/metrics status=200 latency=3.5015ms client_ip=::1
2024/11/14 16:45:55 GraphQL server created successfully
2024/11/14 16:45:55 GraphQL playground available at http://localhost:9000/
2024/11/14 16:46:01 method=GET path=/metrics status=200 latency=4.083083ms client_ip=::1
2024/11/14 16:46:04 method=POST path=/query status=200 latency=1.569792ms client_ip=::1
2024/11/14 16:46:16 method=GET path=/metrics status=200 latency=1.322ms client_ip=::1
2024/11/14 16:46:31 method=GET path=/metrics status=200 latency=1.943791ms client_ip=::1
2024/11/14 16:46:46 method=GET path=/metrics status=200 latency=1.797583ms client_ip=::1
2024/11/14 16:47:13 GraphQL server created successfully
2024/11/14 16:47:13 GraphQL playground available at http://localhost:9000/
2024/11/14 16:47:15 Fetching user with ID: %!s(int=1)
2024/11/14 16:47:15 method=POST path=/query status=200 latency=19.790333ms client_ip=::1
2024/11/14 16:47:16 method=GET path=/metrics status=200 latency=3.787834ms client_ip=::1
2024/11/14 16:47:44 GraphQL server created successfully
2024/11/14 16:47:44 GraphQL playground available at http://localhost:9000/
2024/11/14 16:47:45 Fetching user with ID: %!s(int=2)
2024/11/14 16:47:45 Error fetching user: pg: no rows in result set
2024/11/14 16:47:45 method=POST path=/query status=200 latency=8.086833ms client_ip=::1
2024/11/14 16:47:46 method=GET path=/metrics status=200 latency=2.044708ms client_ip=::1
2024/11/14 16:47:53 Fetching user with ID: %!s(int=1)
2024/11/14 16:47:53 method=POST path=/query status=200 latency=1.597958ms client_ip=::1
2024/11/14 17:06:03 GraphQL server created successfully
2024/11/14 17:06:03 GraphQL playground available at http://localhost:9000/
2024/11/14 17:06:09 method=GET path=/metrics status=200 latency=1.989333ms client_ip=::1
2024/11/14 17:06:14 method=POST path=/query status=200 latency=10.070792ms client_ip=::1
2024/11/14 17:06:24 method=GET path=/metrics status=200 latency=2.191125ms client_ip=::1
2024/11/14 17:06:39 method=GET path=/metrics status=200 latency=3.022334ms client_ip=::1
2024/11/14 17:06:54 method=GET path=/metrics status=200 latency=2.652708ms client_ip=::1
2024/11/14 17:07:09 method=GET path=/metrics status=200 latency=1.588625ms client_ip=::1
2024/11/14 17:07:24 method=GET path=/metrics status=200 latency=2.320667ms client_ip=::1
2024/11/14 17:08:22 GraphQL server created successfully
2024/11/14 17:08:22 GraphQL playground available at http://localhost:9000/
2024/11/14 17:08:24 method=POST path=/query status=200 latency=2.887292ms client_ip=::1
2024/11/14 17:08:24 method=GET path=/metrics status=200 latency=905.292µs client_ip=::1
2024/11/14 17:08:39 method=GET path=/metrics status=200 latency=3.17625ms client_ip=::1
2024/11/14 17:08:54 method=GET path=/metrics status=200 latency=1.418083ms client_ip=::1
2024/11/14 17:09:09 method=GET path=/metrics status=200 latency=890.291µs client_ip=::1
2024/11/14 17:09:24 method=GET path=/metrics status=200 latency=2.459042ms client_ip=::1
2024/11/14 17:09:39 method=GET path=/metrics status=200 latency=2.998542ms client_ip=::1
2024/11/14 17:09:54 method=GET path=/metrics status=200 latency=945.625µs client_ip=::1
2024/11/14 17:10:09 method=GET path=/metrics status=200 latency=1.033542ms client_ip=::1
2024/11/14 17:10:24 method=GET path=/metrics status=200 latency=909.75µs client_ip=::1
2024/11/14 17:10:39 method=GET path=/metrics status=200 latency=1.110333ms client_ip=::1
2024/11/14 17:11:00 GraphQL server created successfully
2024/11/14 17:11:00 GraphQL playground available at http://localhost:9000/
2024/11/14 17:11:01 method=POST path=/query status=200 latency=42.683ms client_ip=::1
2024/11/14 17:11:09 method=GET path=/metrics status=200 latency=1.77625ms client_ip=::1
2024/11/14 17:11:24 method=GET path=/metrics status=200 latency=1.185958ms client_ip=::1
2024/11/14 17:11:39 method=GET path=/metrics status=200 latency=740.125µs client_ip=::1
2024/11/14 17:11:54 method=GET path=/metrics status=200 latency=2.086333ms client_ip=::1
2024/11/14 17:12:09 method=GET path=/metrics status=200 latency=446µs client_ip=::1
